"ID","Name","Source","Repository","License","Language","Formats","Tags","Duplicates","Elements","Relationship","Views"
"a4496ac4-fff6-49f1-a403-c698f3e4b47b","SCiMMA","GitHub","scimma/scimma-model","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","77","100","10"
"5de51c60","Mediator","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","33","46","2"
"b06f4b67","6b Template View","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","41","55","1"
"9f5ce532","8 aggregates","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","209","298","8"
"id-ceae47297ac048f6965cf594e1e7f7f4","OETC","GitHub","codeadmin-peritiae/OETC-EA","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","438","688","19"
"cd65c1fd","FindMe 0","GitHub","tgfranck/archifiguredelegates","MIT License","en","XML,CSV,JSON,ARCHIMATE","","0","10","1","2"
"2ecbde29-8836-4cae-b1d8-45eb8f1b8421","10 Layered Architecture for Information Systems","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","19","12","5"
"id-06018e3620704516bacf94fa764ef09e","Mastering_ArchiMate","GitHub","yasenstar/EA","GPL 3.0","en","ARCHIMATE,XML,CSV,JSON","WARNING","0","67","83","12"
"_v4EL0CqkEeqqcaoAsxFIeg","miconsulado","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","16","17","1"
"7c8b6ef5","Tutorial ArchiMate","GitHub","lorsatti/AgileDev","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","32","36","4"
"64d64165","5 Query Object","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","43","57","1"
"0908a44c","2 Data Mapper","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","56","89","1"
"id-23ad0a538e0d49d5809addee0022e420","Fin_Suite4","GitHub","wofuerGitHub/Fin_Suite4","MIT","en","XML,CSV,JSON,ARCHIMATE","","0","100","185","11"
"ba132626-807d-4174-a57c-d22b36f02ab3","Pattern170: KnowYourCustomer","GitHub","robertorgarcia/EAPatterns","Not found","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","101","173","8"
"9e705ba6-ac4a-4359-be53-98a4e6b80a19","GJM Database and applications","GitHub","davres1/Archimate","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","210","253","14"
"fb8f9189-8d3e-4b2e-a3cd-83017a71c19c","Pattern168: WorkTogether","GitHub","robertorgarcia/EAPatterns","Not found","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","73","114","5"
"9b56e3eb-a43f-4545-8554-67ad2952bb58","Enroll System","GitHub","ideacrew/archi_enroll","MIT License","en","XML,CSV,JSON,ARCHIMATE","","0","324","340","13"
"9658ff39-8c98-4c85-a034-6348c0243d5a","NVA-DLR-minimum","GitHub","BIBSYSDEV/nva-architecture","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","41","76","1"
"id-1874fc60","Collaborative Business Development","GitHub","lonniev/collaborative_business","MIT","en","XML,CSV,JSON,ARCHIMATE","","0","83","86","5"
"_nSQOENyfEe2JhIahQQsnAA","FleXtory Step 1","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","20","13","2"
"_XwQyYCY6Eem4iPlIob1YRg","Test","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","13","10","1"
"_J02DwPiyEeqzNvdhjEdfGw","SAPDataExchange21","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","17","29","1"
"54525ee5","ArchiMetal","GitHub","tonyisyourpal/archimetal","MIT","en","XML,CSV,JSON,ARCHIMATE","","0","562","760","78"
"e2a23892","deployments","GitHub","vfarcic/vfarcic.github.io","MIT License","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","19","34","16"
"id-867264cfe09a4daaa8e3d1e0c3e680b3","car-rental-application","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","74","97","2"
"45f87864-a222-4f0d-8c62-59e6381ad765","enterprise patterns overview","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","15","17","1"
"1b494c8e","Pacemaker_Android","GitHub","1carew1/pacemaker-architecture","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","109","118","9"
"9d370cb5","Online","GitHub","myth/trashcan","GNU General Public License v2.0","en","XML,CSV,JSON,ARCHIMATE","","0","143","225","11"
"_3MaagCczEeqqcaoAsxFIeg","PRINCE2","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","12","18","2"
"_1_nh0M3mEei1GrjyiKWeTA","Data Archiving Architecture","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","32","27","3"
"id-85903050004a40d8964c6edc97e82d57","SoilWise_consolidated","GitHub","soilwise-he/soilwise-architecture","MIT","en","ARCHIMATE,XML,CSV,JSON","","0","87","106","1"
"6570df4c-498c-4339-bd9e-4be856e4ebd8","Archimate recipes","GitHub","orey/papers","GNU FDL License","en","XML,CSV,JSON,ARCHIMATE","WARNING","0","72","92","14"
"_F-ajoLFgEeuARqq-icHx7Q","1c-study-mobilebank","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","102","89","1"
"id-3ebf2274-6621-41d3-b1f3-2d65f84716a8","ISeePricey","GitHub","maxromanov/TreeWalk","GNU General Public License v3.0","en","XML,CSV,JSON,ARCHIMATE","","0","62","102","6"
"076abb71-28da-42ee-b1e8-edeca1a7e431","IAAM","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","109","157","6"
